variant,method,k,avg_hist_plausibility,avg_bio_precision_llm,avg_cultural_approp_llm,avg_overall_llm,avg_precision_at_k,avg_recall,avg_mrr
B,dense,10,0.872,3.04,2.6,3.04,0.036444444444444446,0.01810526315789474,0.19571428571428573
B,dense,20,0.9840000000000001,3.44,2.84,3.44,0.03431578947368421,0.03431578947368421,0.21417360417360418
B,dense,30,0.988,3.6,3.04,3.6,0.03112643678160919,0.04631578947368422,0.21607836607836606
B,bm25,10,0.47600000000000003,3.0,2.52,3.0,0.0,0.0,0.0
B,bm25,20,0.72,3.4,2.76,3.4,0.0,0.0,0.0
B,bm25,30,0.8319999999999999,3.68,3.16,3.68,0.0,0.0,0.0
